column_name,data_type,ordinal_position
_dbt_source_relation,STRING,1
id,INT64,2
utc_created_at,TIMESTAMP,3
utc_updated_at,TIMESTAMP,4
order_id,INT64,5
action_id,INT64,6
exp_date,STRING,7
card_num,STRING,8
recurring_id,STRING,9
account,STRING,10
user_id,INT64,11
start,DATE,12
period,STRING,13
amount,NUMERIC,14
currency,STRING,15
amount_converted,NUMERIC,16
status,STRING,17
source_schema,STRING,18
source_table,STRING,19
vendor,STRING,20
vendor_unique_orderrecurring_id,STRING,21
data_owner_id,INT64,22
data_owner_code,STRING,23
