column_name,data_type,is_nullable,ordinal_position
_dbt_source_relation,STRING,true,1
id,INT64,true,2
subject,STRING,true,3
body,STRING,true,4
to,STRING,true,5
from,STRING,true,6
reply_to,STRING,true,7
target_option,STRING,true,8
permalink,STRING,true,9
utc_created_at,TIMESTAMP,true,10
utc_updated_at,TIMESTAMP,true,11
user_id,INT64,true,12
status,INT64,true,13
send_date,TIMESTAMP,true,14
total_sent,INT64,true,15
actions_count,INT64,true,16
group_id,INT64,true,17
is_sending,INT64,true,18
email_template_id,INT64,true,19
stats,STRING,true,20
uuid,STRING,true,21
first_permalink,STRING,true,22
administrative_title,STRING,true,23
hidden,INT64,true,24
finish_send,INT64,true,25
inlined_content,STRING,true,26
tag_list,STRING,true,27
pre_header,STRING,true,28
builder_json,STRING,true,29
builder_html,STRING,true,30
button_color,STRING,true,31
button_text_color,STRING,true,32
typeface_color,STRING,true,33
utc_delivered_at,TIMESTAMP,true,34
parent_email_id,INT64,true,35
timezones,STRING,true,36
link_appendages,STRING,true,37
stream_id,INT64,true,38
source_schema,STRING,true,39
source_table,STRING,true,40
vendor,STRING,true,41
segment_by_key,STRING,true,42
vendor_unique_email_id,STRING,true,43
data_owner_id,INT64,true,44
data_owner_code,STRING,true,45
